x,cntry,essround,idno,pspwght,pweight,polintr,happy,gndr,yrbrn,agea,chldhm,edulvla,eisced,eduyrs,pdwrk,edctn,wkhtot,isco08,uemp3m,hinctnta
327,CH,8,899,1.009714603,0.464939934,3,10,2,2000,16,2,2,2,10,0,1,666,66666,2,88
328,CH,8,900,0.9878304,0.464939934,2,9,1,1956,60,2,3,4,12,1,0,0,1412,2,2
329,CH,8,903,0.890090764,0.464939934,1,9,1,1947,69,2,77,77,77,1,0,30,88888,2,77
330,CH,8,904,0.924070776,0.464939934,2,10,2,1951,65,2,2,2,9,0,0,15,5322,2,4
331,CH,8,905,1.102796197,0.464939934,2,10,2,1947,69,2,3,4,11,0,0,35,6112,2,88
332,CH,8,906,1.302075982,0.464939934,3,8,1,1977,39,2,5,7,22,1,0,45,3313,1,8
333,CH,8,911,1.102796197,0.464939934,2,8,2,1938,78,2,3,3,12,0,0,888,4312,2,88
334,CH,8,913,0.959825993,0.464939934,2,9,2,1939,77,2,3,3,10,0,0,888,7531,2,77
335,CH,8,914,0.899777412,0.464939934,2,7,1,1939,77,2,5,5,14,0,0,55,7323,2,3
336,CH,8,915,0.899520457,0.464939934,3,9,1,1984,32,1,5,6,16,1,0,42,3221,2,7
337,CH,8,916,1.009714603,0.464939934,3,10,2,1991,26,2,3,3,9,1,0,43,3343,2,7
338,CH,8,919,0.959825993,0.464939934,3,8,2,1932,84,2,2,2,8,0,0,888,9320,2,5
339,CH,8,921,1.147626638,0.464939934,2,7,2,1984,33,2,3,3,9,0,0,36,4120,1,3
340,CH,8,926,1.009714603,0.464939934,3,9,2,1991,25,2,5,5,9,1,0,43,5329,2,7
341,CH,8,927,0.979478419,0.464939934,2,9,2,1983,33,1,5,5,12,1,0,17,2410,2,7
342,CH,8,928,1.090924263,0.464939934,2,9,2,1949,67,2,3,3,9,0,0,44,5141,2,5
343,CH,8,931,0.890090764,0.464939934,1,8,1,1940,76,2,3,4,16,0,0,42,4110,1,6
344,CH,8,932,0.78312695,0.464939934,1,8,1,1946,70,2,3,3,17,0,0,41,3510,2,7
