"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l","zv"
"569",569,"CH",8,1406,0.78312695,0.464939934,1,9,1,1950,66,2,5,6,13,0,0,40,2330,2,7,2016,-1.45778928764231
"182",182,"CH",8,536,0.899777412,0.464939934,2,9,1,1947,69,2,3,3,12,0,0,45,1439,2,2,2016,-1.45443173969717
"713",713,"CH",8,1720,0.924070776,0.464939934,1,8,2,1959,57,1,5,5,9,1,0,42,4120,2,6,2016,-1.43999734390009
"85",85,"CH",8,243,0.899777412,0.464939934,2,5,1,1957,59,2,3,3,14,1,0,3,5111,2,5,2016,-1.43881606712176
"1004",1004,"CH",8,2376,1.009714603,0.464939934,3,8,2,1999,17,2,2,2,11,0,1,666,66666,2,7,2016,-1.43052821065575
"718",718,"CH",8,1730,1.022381425,0.464939934,2,9,1,1994,22,2,3,4,14,0,1,888,3344,2,88,2016,-1.4212212331363
"258",258,"CH",8,737,0.78312695,0.464939934,2,7,1,1948,68,2,5,7,16,0,0,50,2330,2,6,2016,-1.41854298085895
"403",403,"CH",8,1058,1.102796197,0.464939934,1,10,2,1954,62,2,2,2,11,1,0,42,4313,2,7,2016,-1.41706637572187
"102",102,"CH",8,306,0.972100914,0.464939934,3,7,2,1984,33,2,3,3,13,1,0,44,3111,2,3,2017,-1.41673656970395
"1103",1103,"CH",8,2564,1.147626638,0.464939934,2,9,2,1995,21,2,3,3,9,1,0,50,3350,2,88,2016,-1.41593842082621
"462",462,"CH",8,1169,1.033508062,0.464939934,2,7,1,1989,27,2,3,3,9,1,0,50,7119,1,7,2016,-1.41409424322594
"38",38,"CH",8,105,0.890090764,0.464939934,2,4,1,1951,65,2,3,3,9,1,0,45,7320,2,3,2016,-1.41211757406385
"461",461,"CH",8,1168,0.75395447,0.464939934,3,10,1,1952,64,2,5,5,8,1,0,40,2320,2,77,2016,-1.40683735719417
"410",410,"CH",8,1070,0.890090764,0.464939934,1,8,1,1960,56,2,3,4,12,1,0,48,1120,2,8,2016,-1.40621661941729
"1149",1149,"CH",8,2661,1.003414631,0.464939934,2,9,2,1974,42,1,4,5,13,1,0,26,5111,2,6,2016,-1.40207407110823
"570",570,"CH",8,1409,0.890090764,0.464939934,1,8,1,1949,67,2,5,7,14,0,0,50,1221,2,7,2016,-1.39980271797004
"1327",1327,"CH",8,3007,1.001342416,0.464939934,3,8,1,1967,49,1,3,3,9,1,0,65,6130,2,3,2016,-1.39813460371406
"859",859,"CH",8,2039,1.032253623,0.464939934,3,7,1,1968,48,1,3,3,9,1,0,777,3120,2,9,2016,-1.38713129579646
"812",812,"CH",8,1936,1.186012149,0.464939934,3,7,1,1964,52,1,5,6,10,1,0,3,5120,2,2,2016,-1.3844283889497
"300",300,"CH",8,830,1.001342416,0.464939934,1,10,1,1971,45,2,3,3,9,1,0,42,9310,2,6,2016,-1.37533279931933
"562",562,"CH",8,1392,0.979478419,0.464939934,3,9,2,1984,32,2,3,3,10,1,0,47,3411,1,7,2016,-1.37463221645701
"1291",1291,"CH",8,2933,1.186012149,0.464939934,1,8,1,1965,51,2,5,5,13,1,0,50,6112,1,8,2016,-1.37364240407102
"1134",1134,"CH",8,2620,0.959825993,0.464939934,3,10,2,1955,61,2,5,6,16,1,0,15,3221,2,7,2016,-1.36657384870811
"1018",1018,"CH",8,2406,1.140466452,0.464939934,2,10,2,1969,47,1,5,5,9,1,0,20,2341,2,7,2016,-1.36354323707309
"175",175,"CH",8,510,0.924070776,0.464939934,2,9,2,1955,61,2,4,5,10,1,0,27,3221,2,3,2016,-1.35683236218153
"249",249,"CH",8,709,1.003414631,0.464939934,2,8,2,1970,46,2,3,4,15,1,0,35,2341,1,8,2016,-1.35515016075331
"231",231,"CH",8,658,0.890090764,0.464939934,2,7,1,1935,81,2,3,3,8,0,0,48,6130,2,2,2016,-1.35457980328097
"858",858,"CH",8,2035,0.75395447,0.464939934,1,6,1,1953,63,2,3,3,8,0,0,58,1221,2,4,2016,-1.35354745691876
"1517",1517,"CH",8,3441,0.866011918,0.464939934,2,9,1,1993,23,2,3,3,10,1,0,31,7412,2,4,2016,-1.34474338658167
"1088",1088,"CH",8,2535,1.147626638,0.464939934,3,9,2,1998,18,2,3,3,9,1,0,0,5120,2,1,2016,-1.33397658814577
"946",946,"CH",8,2237,0.890090764,0.464939934,1,10,1,1961,55,1,5,7,17,1,0,55,1120,2,9,2016,-1.33355098216559
"1270",1270,"CH",8,2897,0.973367512,0.464939934,2,10,2,1966,50,1,3,4,13,1,0,10,5223,2,8,2016,-1.32962932501924
"646",646,"CH",8,1564,0.959825993,0.464939934,4,7,2,1958,58,2,3,3,12,1,0,9,3256,2,77,2016,-1.32884372087703
"497",497,"CH",8,1236,0.78312695,0.464939934,1,10,1,1946,70,2,5,5,15,0,0,30,2161,2,77,2016,-1.32689385164843
"1109",1109,"CH",8,2576,1.134647846,0.464939934,2,7,1,1996,20,2,3,4,14,0,0,45,3334,2,6,2016,-1.30301235896775
"1055",1055,"CH",8,2468,1.140466452,0.464939934,2,7,2,1973,43,1,5,7,18,1,0,20,2330,2,77,2016,-1.28740636496855
"237",237,"CH",8,672,0.979478419,0.464939934,2,8,2,1984,32,2,5,7,12,1,0,45,2635,2,7,2016,-1.28682856432224
"418",418,"CH",8,1081,1.090924263,0.464939934,4,9,2,1937,79,2,3,3,8,0,0,1,7531,2,88,2016,-1.28668330364385
"1280",1280,"CH",8,2917,0.973367512,0.464939934,2,7,2,1970,46,1,4,5,9,1,0,16,3313,2,10,2016,-1.28281324150426
"598",598,"CH",8,1469,1.102796197,0.464939934,2,9,2,1945,71,2,5,7,17,0,0,41,2341,2,6,2016,-1.27999550322184
"1155",1155,"CH",8,2674,0.872584283,0.464939934,3,7,1,1989,27,2,4,5,9,1,0,43,2166,2,3,2016,-1.27654381071071
"722",722,"CH",8,1738,1.003414631,0.464939934,2,8,2,1962,54,1,5,7,9,1,0,5,2330,1,4,2016,-1.26233621173228
"58",58,"CH",8,154,1.090924263,0.464939934,2,6,2,1945,71,2,2,2,10,0,0,22,4120,1,6,2016,-1.26031644741115
"1069",1069,"CH",8,2493,1.186012149,0.464939934,3,8,1,1968,48,1,5,6,15,1,0,50,2264,2,6,2016,-1.24930241515282
